,1,2,3,4,5,6,7,8,9,10
citrus-fruit,citrus-fruit,other-vegetables,tropical-fruit,whole-milk,yogurt,root-vegetables,pip-fruit,domestic-eggs,bottled-water,whipped/sour-cream
semi-finished-bread,semi-finished-bread,whole-milk,tropical-fruit,other-vegetables,pastry,shopping-bags,frozen-vegetables,turkey,pip-fruit,soda
margarine,margarine,whole-milk,other-vegetables,yogurt,rolls/buns,root-vegetables,domestic-eggs,pip-fruit,bottled-water,sugar
ready-soups,ready-soups,semi-finished-bread,hair-spray,frozen-meals,organic-sausage,rolls/buns,margarine,mustard,bottled-water,newspapers
tropical-fruit,tropical-fruit,whole-milk,other-vegetables,yogurt,pip-fruit,citrus-fruit,root-vegetables,rolls/buns,bottled-water,whipped/sour-cream
yogurt,yogurt,whole-milk,other-vegetables,tropical-fruit,rolls/buns,root-vegetables,whipped/sour-cream,citrus-fruit,curd,fruit/vegetable-juice
coffee,coffee,whole-milk,other-vegetables,shopping-bags,yogurt,sugar,rolls/buns,pip-fruit,condensed-milk,soda
whole-milk,whole-milk,other-vegetables,yogurt,root-vegetables,rolls/buns,tropical-fruit,whipped/sour-cream,domestic-eggs,butter,curd
pip-fruit,pip-fruit,tropical-fruit,whole-milk,other-vegetables,yogurt,citrus-fruit,root-vegetables,pastry,fruit/vegetable-juice,margarine
cream-cheese-,cream-cheese-,yogurt,whole-milk,other-vegetables,whipped/sour-cream,rolls/buns,root-vegetables,tropical-fruit,pip-fruit,curd
meat-spreads,meat-spreads,canned-fish,cream-cheese-,yogurt,hamburger-meat,brown-bread,soda,domestic-eggs,ketchup,rolls/buns
other-vegetables,other-vegetables,whole-milk,root-vegetables,yogurt,tropical-fruit,whipped/sour-cream,citrus-fruit,rolls/buns,pip-fruit,pork
condensed-milk,condensed-milk,coffee,fruit/vegetable-juice,other-vegetables,cling-film/bags,sugar,nut-snack,salty-snack,rolls/buns,shopping-bags
long-life-bakery-product,long-life-bakery-product,whole-milk,other-vegetables,chocolate,yogurt,fruit/vegetable-juice,whipped/sour-cream,white-bread,napkins,waffles
butter,butter,whole-milk,other-vegetables,yogurt,root-vegetables,domestic-eggs,whipped/sour-cream,citrus-fruit,rolls/buns,tropical-fruit
rice,rice,root-vegetables,whole-milk,other-vegetables,butter,fruit/vegetable-juice,canned-fruit,sugar,hard-cheese,frozen-vegetables
abrasive-cleaner,abrasive-cleaner,preservation-products,cleaner,curd-cheese,root-vegetables,dish-cleaner,other-vegetables,salad-dressing,rice,berries
rolls/buns,rolls/buns,whole-milk,sausage,other-vegetables,yogurt,soda,frankfurter,tropical-fruit,root-vegetables,bottled-water
UHT-milk,UHT-milk,bottled-water,yogurt,other-vegetables,soda,coffee,margarine,domestic-eggs,brown-bread,citrus-fruit
bottled-beer,bottled-beer,bottled-water,liquor,soda,whole-milk,other-vegetables,red/blush-wine,rolls/buns,root-vegetables,fruit/vegetable-juice
liquor-(appetizer),liquor-(appetizer),bottled-beer,canned-beer,soda,newspapers,dishes,frozen-vegetables,shopping-bags,light-bulbs,brandy
pot-plants,pot-plants,whole-milk,yogurt,other-vegetables,fruit/vegetable-juice,tropical-fruit,grapes,dog-food,herbs,detergent
cereals,cereals,whole-milk,frozen-fruits,yogurt,curd,other-vegetables,frozen-meals,long-life-bakery-product,cream-cheese-,domestic-eggs
white-bread,white-bread,whole-milk,processed-cheese,ham,other-vegetables,fruit/vegetable-juice,tropical-fruit,soda,yogurt,pip-fruit
bottled-water,bottled-water,soda,whole-milk,yogurt,tropical-fruit,rolls/buns,other-vegetables,bottled-beer,fruit/vegetable-juice,root-vegetables
chocolate,chocolate,whole-milk,soda,waffles,other-vegetables,candy,rolls/buns,long-life-bakery-product,pastry,butter
curd,curd,whole-milk,yogurt,whipped/sour-cream,other-vegetables,root-vegetables,tropical-fruit,butter,pip-fruit,dessert
flour,flour,sugar,whole-milk,margarine,whipped/sour-cream,other-vegetables,root-vegetables,baking-powder,curd,yogurt
dishes,dishes,other-vegetables,napkins,whole-milk,yogurt,root-vegetables,liquor-(appetizer),cream-cheese-,rolls/buns,citrus-fruit
beef,beef,root-vegetables,other-vegetables,whole-milk,rolls/buns,pork,yogurt,citrus-fruit,margarine,whipped/sour-cream
frankfurter,frankfurter,rolls/buns,whole-milk,other-vegetables,sausage,root-vegetables,yogurt,tropical-fruit,pastry,brown-bread
soda,soda,rolls/buns,bottled-water,sausage,whole-milk,shopping-bags,other-vegetables,yogurt,pastry,fruit/vegetable-juice
chicken,chicken,other-vegetables,whole-milk,root-vegetables,frozen-vegetables,whipped/sour-cream,domestic-eggs,butter,pork,citrus-fruit
sugar,sugar,flour,whole-milk,other-vegetables,baking-powder,margarine,coffee,domestic-eggs,root-vegetables,pork
fruit/vegetable-juice,fruit/vegetable-juice,whole-milk,yogurt,other-vegetables,soda,bottled-water,tropical-fruit,root-vegetables,white-bread,citrus-fruit
newspapers,newspapers,whole-milk,rolls/buns,other-vegetables,yogurt,tropical-fruit,soda,root-vegetables,bottled-water,fruit/vegetable-juice
packaged-fruit/vegetables,packaged-fruit/vegetables,root-vegetables,bottled-water,frozen-vegetables,whole-milk,berries,chicken,other-vegetables,yogurt,beef
specialty-bar,specialty-bar,soda,waffles,pastry,chocolate,rolls/buns,whole-milk,other-vegetables,salty-snack,yogurt
butter-milk,butter-milk,other-vegetables,whole-milk,yogurt,pip-fruit,rolls/buns,fruit/vegetable-juice,tropical-fruit,cream-cheese-,sliced-cheese
pastry,pastry,whole-milk,other-vegetables,soda,rolls/buns,yogurt,tropical-fruit,sausage,pip-fruit,brown-bread
processed-cheese,processed-cheese,white-bread,ham,whole-milk,tropical-fruit,soda,other-vegetables,fruit/vegetable-juice,sausage,rolls/buns
detergent,detergent,whole-milk,softener,other-vegetables,root-vegetables,frozen-vegetables,house-keeping-products,oil,yogurt,tropical-fruit
root-vegetables,root-vegetables,other-vegetables,whole-milk,beef,yogurt,tropical-fruit,whipped/sour-cream,citrus-fruit,domestic-eggs,pork
frozen-dessert,frozen-dessert,frozen-meals,frozen-vegetables,other-vegetables,tropical-fruit,whole-milk,root-vegetables,semi-finished-bread,rolls/buns,margarine
sweet-spreads,sweet-spreads,white-bread,whole-milk,root-vegetables,shopping-bags,hamburger-meat,soda,yogurt,fruit/vegetable-juice,ham
salty-snack,salty-snack,popcorn,other-vegetables,soda,fruit/vegetable-juice,whole-milk,waffles,whipped/sour-cream,shopping-bags,napkins
waffles,waffles,chocolate,whole-milk,pastry,soda,other-vegetables,rolls/buns,long-life-bakery-product,yogurt,root-vegetables
candy,candy,chocolate,soda,tropical-fruit,rolls/buns,whole-milk,other-vegetables,waffles,chocolate-marshmallow,fruit/vegetable-juice
bathroom-cleaner,bathroom-cleaner,cleaner,liver-loaf,decalcifier,root-vegetables,soda,other-vegetables,liquor-(appetizer),berries,napkins
canned-beer,canned-beer,shopping-bags,soda,rolls/buns,bottled-water,other-vegetables,sausage,liquor-(appetizer),brown-bread,red/blush-wine
sausage,sausage,rolls/buns,other-vegetables,whole-milk,soda,yogurt,shopping-bags,root-vegetables,sliced-cheese,tropical-fruit
brown-bread,brown-bread,whole-milk,other-vegetables,yogurt,sausage,tropical-fruit,pastry,fruit/vegetable-juice,root-vegetables,soda
shopping-bags,shopping-bags,soda,other-vegetables,sausage,whole-milk,rolls/buns,tropical-fruit,canned-beer,yogurt,pastry
beverages,beverages,yogurt,whole-milk,tropical-fruit,rolls/buns,other-vegetables,soda,pastry,fruit/vegetable-juice,pip-fruit
hamburger-meat,hamburger-meat,Instant-food-products,other-vegetables,whole-milk,pasta,rolls/buns,root-vegetables,butter,chicken,yogurt
spices,spices,preservation-products,chicken,other-vegetables,sausage,pip-fruit,vinegar,citrus-fruit,onions,butter
hygiene-articles,hygiene-articles,napkins,whole-milk,other-vegetables,tropical-fruit,yogurt,domestic-eggs,butter,citrus-fruit,pip-fruit
napkins,napkins,whole-milk,hygiene-articles,yogurt,other-vegetables,tropical-fruit,root-vegetables,soda,rolls/buns,whipped/sour-cream
pork,pork,other-vegetables,whole-milk,root-vegetables,beef,whipped/sour-cream,frozen-vegetables,soda,chicken,margarine
berries,berries,whipped/sour-cream,yogurt,other-vegetables,whole-milk,tropical-fruit,root-vegetables,beef,citrus-fruit,grapes
whipped/sour-cream,whipped/sour-cream,other-vegetables,whole-milk,yogurt,root-vegetables,berries,curd,butter,tropical-fruit,domestic-eggs
artif.-sweetener,artif.-sweetener,potato-products,salad-dressing,skin-care,candles,flour,rum,yogurt,frankfurter,mustard
grapes,grapes,other-vegetables,tropical-fruit,berries,whole-milk,pip-fruit,root-vegetables,citrus-fruit,bottled-water,pastry
dessert,dessert,whole-milk,yogurt,other-vegetables,soda,curd,fruit/vegetable-juice,shopping-bags,tropical-fruit,white-bread
zwieback,zwieback,chocolate-marshmallow,organic-products,dishes,tropical-fruit,other-vegetables,semi-finished-bread,toilet-cleaner,yogurt,snack-products
domestic-eggs,domestic-eggs,whole-milk,other-vegetables,root-vegetables,butter,yogurt,whipped/sour-cream,rolls/buns,citrus-fruit,tropical-fruit
spread-cheese,spread-cheese,rolls/buns,yogurt,sausage,soda,other-vegetables,shopping-bags,brown-bread,bottled-water,ham
misc.-beverages,misc.-beverages,soda,bottled-water,fruit/vegetable-juice,tropical-fruit,whole-milk,shopping-bags,other-vegetables,yogurt,domestic-eggs
hard-cheese,hard-cheese,other-vegetables,whole-milk,yogurt,ham,root-vegetables,sausage,butter,whipped/sour-cream,fruit/vegetable-juice
cat-food,cat-food,whole-milk,yogurt,napkins,beef,other-vegetables,tropical-fruit,shopping-bags,root-vegetables,chocolate
ham,ham,white-bread,processed-cheese,whole-milk,other-vegetables,yogurt,hard-cheese,sliced-cheese,tropical-fruit,domestic-eggs
turkey,turkey,other-vegetables,tropical-fruit,root-vegetables,whole-milk,herbs,semi-finished-bread,curd,butter,pastry
baking-powder,baking-powder,whole-milk,sugar,whipped/sour-cream,other-vegetables,cooking-chocolate,flour,margarine,domestic-eggs,yogurt
pickled-vegetables,pickled-vegetables,other-vegetables,whole-milk,root-vegetables,specialty-vegetables,frozen-vegetables,tropical-fruit,frankfurter,citrus-fruit,beef
oil,oil,other-vegetables,whole-milk,root-vegetables,citrus-fruit,whipped/sour-cream,margarine,butter,domestic-eggs,hygiene-articles
chewing-gum,chewing-gum,soda,other-vegetables,shopping-bags,whole-milk,rolls/buns,salty-snack,napkins,bottled-water,pip-fruit
chocolate-marshmallow,chocolate-marshmallow,candy,chocolate,domestic-eggs,waffles,whole-milk,zwieback,pork,soda,frozen-fruits
ice-cream,ice-cream,soda,tropical-fruit,salty-snack,whole-milk,other-vegetables,newspapers,grapes,shopping-bags,whipped/sour-cream
frozen-vegetables,frozen-vegetables,other-vegetables,whole-milk,root-vegetables,yogurt,chicken,whipped/sour-cream,fruit/vegetable-juice,tropical-fruit,pork
canned-fish,canned-fish,other-vegetables,meat-spreads,cream-cheese-,Instant-food-products,mayonnaise,rolls/buns,whole-milk,shopping-bags,mustard
seasonal-products,seasonal-products,yogurt,other-vegetables,shopping-bags,dessert,whole-milk,frozen-vegetables,tropical-fruit,coffee,citrus-fruit
curd-cheese,curd-cheese,abrasive-cleaner,cat-food,other-vegetables,tropical-fruit,whole-milk,soft-cheese,spread-cheese,rolls/buns,yogurt
red/blush-wine,red/blush-wine,liquor,bottled-beer,other-vegetables,soda,bottled-water,rolls/buns,canned-beer,shopping-bags,coffee
frozen-potato-products,frozen-potato-products,sound-storage-medium,salad-dressing,whole-milk,soda,frankfurter,fruit/vegetable-juice,other-vegetables,yogurt,rice
specialty-fat,specialty-fat,margarine,specialty-vegetables,butter,napkins,pasta,hard-cheese,frozen-vegetables,whipped/sour-cream,pork
specialty-chocolate,specialty-chocolate,whole-milk,shopping-bags,soda,chocolate,other-vegetables,candy,rolls/buns,yogurt,long-life-bakery-product
candles,candles,margarine,pastry,whole-milk,artif.-sweetener,other-vegetables,root-vegetables,kitchen-utensil,canned-fish,citrus-fruit
flower-(seeds),flower-(seeds),other-vegetables,whole-milk,butter,whipped/sour-cream,margarine,root-vegetables,frozen-vegetables,detergent,chicken
sparkling-wine,sparkling-wine,other-vegetables,root-vegetables,fruit/vegetable-juice,misc.-beverages,dish-cleaner,white-bread,coffee,red/blush-wine,specialty-chocolate
salt,salt,sugar,onions,other-vegetables,root-vegetables,whipped/sour-cream,canned-vegetables,domestic-eggs,whole-milk,canned-fish
frozen-meals,frozen-meals,whole-milk,other-vegetables,tropical-fruit,frozen-vegetables,pip-fruit,yogurt,pasta,shopping-bags,soda
canned-vegetables,canned-vegetables,other-vegetables,hamburger-meat,specialty-cheese,tropical-fruit,yogurt,root-vegetables,salt,hard-cheese,whole-milk
onions,onions,other-vegetables,root-vegetables,whole-milk,citrus-fruit,domestic-eggs,yogurt,whipped/sour-cream,bottled-water,tropical-fruit
herbs,herbs,root-vegetables,other-vegetables,whole-milk,beef,whipped/sour-cream,butter,frozen-vegetables,oil,curd
white-wine,white-wine,bottled-water,shopping-bags,soda,sausage,bottled-beer,prosecco,canned-beer,rolls/buns,fruit/vegetable-juice
brandy,brandy,whisky,shopping-bags,nuts/prunes,liquor-(appetizer),skin-care,bottled-beer,condensed-milk,rolls/buns,yogurt
photo/film,photo/film,whole-milk,napkins,artif.-sweetener,hygiene-articles,frozen-vegetables,baking-powder,butter-milk,yogurt,chewing-gum
sliced-cheese,sliced-cheese,sausage,yogurt,whole-milk,other-vegetables,rolls/buns,root-vegetables,ham,tropical-fruit,butter
pasta,pasta,hamburger-meat,whole-milk,root-vegetables,frozen-meals,butter,baby-food,soda,other-vegetables,oil
softener,softener,detergent,hygiene-articles,chicken,whole-milk,pip-fruit,napkins,white-bread,other-vegetables,domestic-eggs
cling-film/bags,cling-film/bags,house-keeping-products,coffee,dish-cleaner,other-vegetables,whole-milk,yogurt,napkins,tea,frozen-vegetables
fish,fish,kitchen-utensil,berries,coffee,pet-care,roll-products-,soap,bathroom-cleaner,whole-milk,cake-bar
male-cosmetics,male-cosmetics,bottled-water,canned-beer,sausage,yogurt,dental-care,newspapers,citrus-fruit,soups,specialty-vegetables
canned-fruit,canned-fruit,rice,citrus-fruit,domestic-eggs,misc.-beverages,hygiene-articles,frozen-dessert,dessert,whole-milk,shopping-bags
Instant-food-products,Instant-food-products,hamburger-meat,canned-fish,other-vegetables,whole-milk,root-vegetables,curd,rolls/buns,butter,kitchen-utensil
soft-cheese,soft-cheese,other-vegetables,yogurt,whole-milk,rolls/buns,domestic-eggs,sliced-cheese,butter,whipped/sour-cream,sausage
honey,honey,whole-milk,detergent,chocolate-marshmallow,pudding-powder,ham,berries,pasta,tropical-fruit,root-vegetables
dental-care,dental-care,toilet-cleaner,kitchen-towels,newspapers,other-vegetables,chocolate,frozen-chicken,dish-cleaner,butter,frozen-fish
popcorn,popcorn,salty-snack,whole-milk,root-vegetables,fruit/vegetable-juice,soda,shopping-bags,dessert,onions,dental-care
cake-bar,cake-bar,whole-milk,soda,baby-food,dessert,shopping-bags,other-vegetables,curd,berries,rolls/buns
snack-products,snack-products,soda,cake-bar,rolls/buns,waffles,organic-products,specialty-vegetables,zwieback,popcorn,processed-cheese
flower-soil/fertilizer,flower-soil/fertilizer,flower-(seeds),dish-cleaner,dessert,detergent,curd-cheese,softener,vinegar,instant-coffee,hygiene-articles
specialty-cheese,specialty-cheese,other-vegetables,canned-vegetables,yogurt,whole-milk,root-vegetables,onions,nut-snack,whipped/sour-cream,bottled-water
finished-products,finished-products,baby-food,potato-products,chocolate,pastry,salty-snack,pot-plants,other-vegetables,shopping-bags,organic-sausage
cocoa-drinks,cocoa-drinks,preservation-products,frozen-fruits,chocolate,whole-milk,margarine,mayonnaise,pudding-powder,cooking-chocolate,white-bread
dog-food,dog-food,pot-plants,whole-milk,shopping-bags,rice,frozen-fruits,fruit/vegetable-juice,oil,beef,hard-cheese
prosecco,prosecco,toilet-cleaner,bottled-beer,pot-plants,white-wine,red/blush-wine,cleaner,dental-care,female-sanitary-products,ice-cream
frozen-fish,frozen-fish,other-vegetables,whole-milk,frozen-meals,margarine,yogurt,pork,frozen-vegetables,root-vegetables,tropical-fruit
make-up-remover,make-up-remover,dental-care,popcorn,fruit/vegetable-juice,salty-snack,pet-care,salt,soda,chocolate,canned-fish
cleaner,cleaner,abrasive-cleaner,female-sanitary-products,vinegar,whole-milk,house-keeping-products,yogurt,frozen-vegetables,bathroom-cleaner,toilet-cleaner
female-sanitary-products,female-sanitary-products,cleaner,cat-food,soups,citrus-fruit,house-keeping-products,yogurt,chocolate,whole-milk,cling-film/bags
dish-cleaner,dish-cleaner,baby-cosmetics,cling-film/bags,cat-food,preservation-products,abrasive-cleaner,hygiene-articles,hamburger-meat,oil,napkins
cookware,cookware,baby-cosmetics,beef,pip-fruit,citrus-fruit,dish-cleaner,potato-products,beverages,mustard,nut-snack
meat,meat,other-vegetables,whole-milk,sausage,rolls/buns,root-vegetables,brown-bread,yogurt,frankfurter,domestic-eggs
tea,tea,tropical-fruit,curd,bottled-beer,cling-film/bags,domestic-eggs,cream-cheese-,other-vegetables,whole-milk,pip-fruit
mustard,mustard,mayonnaise,ketchup,frankfurter,whole-milk,root-vegetables,rolls/buns,oil,canned-fish,tropical-fruit
house-keeping-products,house-keeping-products,cling-film/bags,whole-milk,detergent,napkins,other-vegetables,hygiene-articles,chocolate,long-life-bakery-product,cleaner
skin-care,skin-care,hygiene-articles,artif.-sweetener,rolls/buns,frozen-vegetables,whole-milk,brandy,chicken,margarine,other-vegetables
potato-products,potato-products,finished-products,frankfurter,artif.-sweetener,pastry,processed-cheese,fruit/vegetable-juice,decalcifier,shopping-bags,ham
liquor,liquor,bottled-beer,red/blush-wine,shopping-bags,dishes,pickled-vegetables,soda,rum,napkins,liquor-(appetizer)
pet-care,pet-care,cat-food,sauces,whole-milk,soda,napkins,other-vegetables,root-vegetables,bottled-beer,fruit/vegetable-juice
soups,soups,baby-food,other-vegetables,whole-milk,whipped/sour-cream,citrus-fruit,sugar,sauces,margarine,root-vegetables
rum,rum,butter,artif.-sweetener,other-vegetables,whole-milk,sliced-cheese,herbs,soft-cheese,baking-powder,margarine
salad-dressing,salad-dressing,frozen-potato-products,artif.-sweetener,onions,abrasive-cleaner,flour,liver-loaf,cleaner,sauces,pork
sauces,sauces,hamburger-meat,pet-care,soups,brown-bread,sweet-spreads,whole-milk,kitchen-towels,hard-cheese,toilet-cleaner
vinegar,vinegar,cleaner,other-vegetables,oil,whole-milk,onions,cream-cheese-,roll-products-,root-vegetables,yogurt
soap,soap,hair-spray,cereals,fruit/vegetable-juice,beef,whole-milk,detergent,soda,bathroom-cleaner,potato-products
hair-spray,hair-spray,ready-soups,soap,sliced-cheese,finished-products,spread-cheese,seasonal-products,coffee,brown-bread,flour
instant-coffee,instant-coffee,soda,yogurt,frozen-vegetables,whipped/sour-cream,whole-milk,other-vegetables,rolls/buns,root-vegetables,newspapers
roll-products-,roll-products-,other-vegetables,root-vegetables,whole-milk,oil,flour,margarine,sugar,whipped/sour-cream,pork
mayonnaise,mayonnaise,mustard,other-vegetables,root-vegetables,canned-fish,yogurt,chocolate,margarine,preservation-products,sausage
rubbing-alcohol,rubbing-alcohol,hygiene-articles,butter,syrup,napkins,citrus-fruit,herbs,processed-cheese,long-life-bakery-product,red/blush-wine
syrup,syrup,baby-cosmetics,sweet-spreads,rubbing-alcohol,tropical-fruit,female-sanitary-products,other-vegetables,white-bread,pastry,semi-finished-bread
liver-loaf,liver-loaf,frozen-vegetables,root-vegetables,whole-milk,cream-cheese-,yogurt,bathroom-cleaner,salad-dressing,rolls/buns,curd
baby-cosmetics,baby-cosmetics,cream,dish-cleaner,cookware,syrup,kitchen-towels,soups,butter-milk,oil,sweet-spreads
organic-products,organic-products,zwieback,rice,flour,chocolate-marshmallow,margarine,cat-food,hard-cheese,tropical-fruit,snack-products
nut-snack,nut-snack,specialty-cheese,salty-snack,condensed-milk,cream,cat-food,female-sanitary-products,hard-cheese,frankfurter,soda
kitchen-towels,kitchen-towels,whole-milk,dental-care,salty-snack,other-vegetables,coffee,frozen-meals,frozen-fish,cat-food,hamburger-meat
frozen-chicken,frozen-chicken,dental-care,kitchen-towels,frozen-vegetables,butter,seasonal-products,soft-cheese,fruit/vegetable-juice,sliced-cheese,butter-milk
light-bulbs,light-bulbs,napkins,liquor-(appetizer),yogurt,other-vegetables,sauces,dental-care,decalcifier,coffee,ham
ketchup,ketchup,mustard,domestic-eggs,canned-fish,processed-cheese,oil,other-vegetables,pork,hygiene-articles,frankfurter
jam,jam,root-vegetables,whole-milk,beef,butter,salt,onions,coffee,other-vegetables,pot-plants
decalcifier,decalcifier,rice,napkins,detergent,bathroom-cleaner,potato-products,hygiene-articles,sugar,processed-cheese,light-bulbs
nuts/prunes,nuts/prunes,newspapers,brandy,cream,chocolate,tropical-fruit,whole-milk,rolls/buns,pip-fruit,other-vegetables
liqueur,liqueur,misc.-beverages,mustard,cake-bar,baking-powder,canned-beer,rolls/buns,grapes,ice-cream,beverages
organic-sausage,organic-sausage,finished-products,ready-soups,butter,candles,cooking-chocolate,whole-milk,abrasive-cleaner,pastry,sausage
cream,cream,baby-cosmetics,sausage,frozen-potato-products,roll-products-,nut-snack,nuts/prunes,other-vegetables,baking-powder,fruit/vegetable-juice
toilet-cleaner,toilet-cleaner,dental-care,prosecco,cleaner,jam,sauces,zwieback,hamburger-meat,newspapers,chocolate-marshmallow
specialty-vegetables,specialty-vegetables,pickled-vegetables,specialty-fat,white-bread,pasta,soups,processed-cheese,soft-cheese,bottled-beer,coffee
baby-food,baby-food,finished-products,soups,cake-bar,pasta,soft-cheese,butter-milk,dessert,salty-snack,waffles
pudding-powder,pudding-powder,flour,whipped/sour-cream,curd,whole-milk,honey,oil,baking-powder,house-keeping-products,sugar
tidbits,tidbits,bags,rolls/buns,waffles,soda,butter-milk,pudding-powder,frozen-fish,whole-milk,cake-bar
whisky,whisky,brandy,flour,fruit/vegetable-juice,white-wine,chewing-gum,cat-food,shopping-bags,meat,bottled-water
frozen-fruits,frozen-fruits,cereals,processed-cheese,whipped/sour-cream,dog-food,cocoa-drinks,chocolate-marshmallow,other-vegetables,domestic-eggs,long-life-bakery-product
bags,bags,tidbits,frozen-potato-products,pickled-vegetables,frozen-vegetables,napkins,pork,fruit/vegetable-juice,pip-fruit,pastry
cooking-chocolate,cooking-chocolate,baking-powder,domestic-eggs,curd,whole-milk,flour,hygiene-articles,organic-sausage,cocoa-drinks,margarine
sound-storage-medium,sound-storage-medium,frozen-potato-products,cat-food,ham,candy,white-bread,pastry,shopping-bags,bottled-water,soda
kitchen-utensil,kitchen-utensil,fish,onions,Instant-food-products,turkey,berries,candles,pot-plants,semi-finished-bread,detergent
preservation-products,preservation-products,cocoa-drinks,abrasive-cleaner,spices,mayonnaise,dish-cleaner,mustard,whipped/sour-cream,citrus-fruit,grapes
